iter	RMSE
0	31681.7905
1	29523.08006
2	27520.8735
3	25844.30394
4	24598.59714
5	23246.65643
6	22161.16795
7	21115.62793
8	20214.01555
9	19270.11631
10	18494.40057
11	17771.71181
12	17085.16749
13	16460.57351
14	16021.32305
15	15505.91433
16	15180.71868
17	14835.90011
18	14551.92624
19	14298.52601
20	14027.49833
21	13713.52684
22	13377.31854
23	13163.95776
24	12979.78494
25	12763.93906
26	12576.15252
27	12372.93594
28	12242.7774
29	12091.45339
30	11935.93549
31	11800.9656
32	11713.74394
33	11621.38516
34	11524.55021
35	11404.32684
36	11344.6255
37	11224.11143
38	11142.26638
39	11065.70774
40	10988.34135
41	10919.20108
42	10836.73825
43	10742.3416
44	10689.65647
45	10602.69985
46	10536.95041
47	10446.67118
48	10400.08973
49	10340.86346
50	10270.59111
51	10218.82649
52	10164.5886
53	10119.10218
54	10082.51756
55	10035.92467
56	9998.61372
57	9946.106953
58	9878.324984
59	9834.841232
60	9798.632327
61	9740.740468
62	9690.793904
63	9650.686624
64	9607.860368
65	9555.002016
66	9500.222529
67	9442.629959
68	9409.446684
69	9376.839381
70	9329.005218
71	9286.126431
72	9244.648711
73	9226.84989
74	9186.284573
75	9122.821893
76	9073.411953
77	9043.689426
78	9005.615799
79	8979.250421
80	8932.648008
81	8884.348035
82	8853.574742
83	8797.672103
84	8773.448091
85	8735.195933
86	8677.0525
87	8632.518242
88	8580.409559
89	8538.079639
90	8504.812521
91	8473.683815
92	8435.243143
93	8412.371482
94	8368.910702
95	8333.403127
96	8287.588528
97	8268.435796
98	8245.195128
99	8208.382468
100	8189.962879
101	8153.711652
102	8110.392924
103	8062.294766
104	8039.814262
105	8018.979168
106	7980.132877
107	7957.078344
108	7898.449587
109	7838.083418
110	7796.949754
111	7775.419579
112	7735.278728
113	7709.300814
114	7662.591776
115	7624.381928
116	7588.72462
117	7541.579346
118	7519.875427
119	7479.279085
120	7458.294774
121	7413.293322
122	7374.944679
123	7336.389396
124	7307.74092
125	7284.344961
126	7249.981992
127	7192.619554
128	7158.817032
129	7135.844294
130	7089.423646
131	7049.012474
132	7024.609724
133	7002.131993
134	6975.392855
135	6920.19059
136	6907.104082
137	6873.784899
138	6847.386316
139	6817.882608
140	6788.620569
141	6764.145901
142	6727.687061
143	6709.401292
144	6663.751555
145	6646.347896
146	6632.994496
147	6612.237306
148	6575.503521
149	6536.69449
150	6500.164045
151	6465.20325
152	6447.952363
153	6403.404731
154	6354.014612
155	6339.792023
156	6320.833861
157	6292.727437
158	6252.355298
159	6237.50624
160	6220.91316
161	6211.957637
162	6194.324176
163	6166.662841
164	6138.551282
165	6106.148847
166	6087.694027
167	6068.387334
168	6045.951022
169	6013.72467
170	6005.879253
171	5984.195465
172	5955.289518
173	5928.102103
174	5920.833416
175	5900.207956
176	5874.144074
177	5853.769532
178	5827.028488
179	5797.292141
180	5773.410605
181	5756.945456
182	5732.533352
183	5725.746935
184	5693.655331
185	5663.926957
186	5640.128017
187	5617.514718
188	5594.593114
189	5582.521629
190	5565.631361
191	5535.438925
192	5523.857094
193	5484.141528
194	5467.629565
195	5450.235062
196	5432.117993
197	5411.041364
198	5389.180842
199	5371.819545
200	5355.945462
201	5342.934913
202	5308.349548
203	5284.127409
204	5270.873581
205	5261.388009
206	5244.794726
207	5215.967566
208	5197.239404
209	5181.966762
210	5158.194514
211	5139.423046
212	5119.360352
213	5094.09619
214	5079.149093
215	5052.653126
216	5043.947425
217	5028.477346
218	5005.3896
219	4980.551234
220	4968.349116
221	4944.219126
222	4928.123741
223	4906.246933
224	4882.906394
225	4861.724105
226	4848.987471
227	4831.663228
228	4820.177077
229	4815.729191
230	4795.624233
231	4790.332259
232	4768.928187
233	4757.8352
234	4748.60803
235	4735.663496
236	4716.263395
237	4700.819241
238	4676.753536
239	4664.192094
240	4647.272136
241	4624.777114
242	4599.412522
243	4589.022395
244	4569.173516
245	4547.41956
246	4525.748252
247	4522.094813
248	4506.976184
249	4496.228678
250	4484.925381
251	4471.759141
252	4460.093424
253	4443.893597
254	4437.818104
255	4420.128929
256	4408.530573
257	4396.015645
258	4383.629683
259	4371.383354
260	4360.799392
261	4350.286812
262	4338.285158
263	4327.204373
264	4306.575414
265	4297.246046
266	4283.153271
267	4268.296394
268	4249.289021
269	4233.255951
270	4223.931417
271	4207.102752
272	4188.600517
273	4174.071992
274	4158.903072
275	4147.544773
276	4131.650675
277	4117.736479
278	4109.685894
279	4096.022928
280	4082.651104
281	4066.315006
282	4056.137243
283	4043.222516
284	4027.203981
285	4009.426278
286	4000.430202
287	3984.221518
288	3972.239152
289	3957.79467
290	3940.524725
291	3922.7474
292	3914.741039
293	3899.66086
294	3892.272105
295	3879.886281
296	3867.382717
297	3857.767374
298	3844.491954
299	3832.237738
300	3816.055799
301	3807.066148
302	3790.033107
303	3778.079449
304	3763.105207
305	3755.417027
306	3738.644764
307	3733.750872
308	3726.305853
309	3717.582775
310	3706.561995
311	3700.437165
312	3687.630253
313	3669.29124
314	3652.609638
315	3638.58765
316	3629.070433
317	3615.81765
318	3606.43398
319	3596.735802
320	3584.219938
321	3573.819853
322	3568.330486
323	3561.531306
324	3541.458886
325	3523.781569
326	3513.109463
327	3503.909625
328	3496.93169
329	3483.540343
330	3474.806292
331	3464.224224
332	3444.121749
333	3433.139552
334	3423.22974
335	3418.819814
336	3402.338725
337	3387.300871
338	3372.883373
339	3361.20314
340	3346.998652
341	3331.54436
342	3325.541797
343	3317.855754
344	3309.539719
345	3299.590297
346	3293.373166
347	3286.990408
348	3277.956877
349	3271.487968
350	3261.532318
351	3250.015116
352	3242.616837
353	3233.416245
354	3220.589881
355	3207.837802
356	3195.302001
357	3181.095765
358	3173.4064
359	3162.944488
360	3153.045614
361	3142.85369
362	3134.442238
363	3125.954309
364	3117.069947
365	3108.962513
366	3101.075953
367	3093.175656
368	3086.512221
369	3072.151546
370	3060.516065
371	3047.170061
372	3037.893209
373	3025.471287
374	3019.917748
375	3009.039064
376	3001.80535
377	2988.842903
378	2978.763274
379	2971.137756
380	2963.885085
381	2949.749293
382	2942.901055
383	2932.099126
384	2921.33898
385	2915.705543
386	2907.862335
387	2900.82213
388	2894.046177
389	2886.060329
390	2878.029209
391	2867.552417
392	2862.907359
393	2855.400099
394	2848.341807
395	2837.043735
396	2827.777653
397	2821.636816
398	2814.821896
399	2805.474035
400	2796.984259
401	2790.314038
402	2785.020437
403	2780.335272
404	2769.972211
405	2760.783561
406	2756.809537
407	2754.640779
408	2747.657269
409	2735.738338
410	2727.041219
411	2721.118962
412	2713.213735
413	2706.336437
414	2701.794789
415	2694.296685
416	2689.58318
417	2685.938706
418	2681.303233
419	2673.669134
420	2668.643481
421	2665.691062
422	2655.576916
423	2648.026682
424	2638.254654
425	2633.206403
426	2627.997542
